"Category","Chart Type","Scale/Range","Interaction","Alert Threshold"
"CPU Total","Line Chart","0-100% (Y), Time (X)","Zoom/pan, hover per-core breakdown",">80% sustained"
"CPU Per-Core","Heatmap","0-100% (color), Core# (Y), Time (X)","Click core → detail graph",">90% any core"
"RAM Usage","Area Chart","0-16GB (Y), Time (X)","Hover → working set breakdown",">85% total"
"Page Faults","Line Chart","0-10K/sec (Y), Time (X)","Spikes → process owner",">1K/sec sustained"
"Disk Queue","Gauge","0-10 queue length","Click → IOPS detail",">2 sustained"
"Disk Latency","Line Chart","0-100ms (Y), Time (X)","Color-coded: green<10ms, red>50ms",">30ms avg"
"Disk Throughput","Dual Line","0-500MB/s read/write","Hover → per-drive","Queue>1 + high I/O"
"GPU Usage","Radial Gauge","0-100% + VRAM %","Click → per-process",">90% + VRAM>85%"
"Network","Sparkline","0-1Gbps up/down","Click → TCP errors/retransmits","High latency + drops"
"Top Processes","Horizontal Bar","CPU% or RAM (dynamic)","Click process → kill/minimize","Single process >50%"
"Error Events","Step Chart","Events/hour (Y), Time (X)","Click event → Event Viewer",">5 critical/hour"
"Build Time","Line Chart","0-60min (Y), Build# (X)","Hover → MSBuild/webpack args",">2x median"
